Machine Module,SVA1015X,3.2.2.6.0R1
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+0.000000000E+00
Attenuation,20.000000,Auto
Sweep Time,294000.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.500000000E+09
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Normal,Off,Off,Off,Off,Off,Off
Marker on Trace,A,A,,,,,,
Marker Read Out,Frequency,Frequency,,,,,,
Marker X Axis,840000000.00000000,1334000000.00000000,,,,,,
Marker Ampt,-24.29797363,-33.58489275,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,11.17
2000000,-5.37
4000000,-43.42
6000000,-40.28
8000000,-39.17
10000000,-41.32
12000000,-43.96
14000000,-48.04
16000000,-50.34
18000000,-45.31
20000000,-44.09
22000000,-45.00
24000000,-47.25
26000000,-49.64
28000000,-45.72
30000000,-46.46
32000000,-46.33
34000000,-50.62
36000000,-47.61
38000000,-47.47
40000000,-44.10
42000000,-43.73
44000000,-50.81
46000000,-49.36
48000000,-47.78
50000000,-49.14
52000000,-50.07
54000000,-50.28
56000000,-53.30
58000000,-50.51
60000000,-49.53
62000000,-52.88
64000000,-51.76
66000000,-52.32
68000000,-50.63
70000000,-49.46
72000000,-53.13
74000000,-54.52
76000000,-53.94
78000000,-49.93
80000000,-46.21
82000000,-51.19
84000000,-55.29
86000000,-54.78
88000000,-54.37
90000000,-49.94
92000000,-51.76
94000000,-53.70
96000000,-54.39
98000000,-56.90
100000000,-54.74
102000000,-53.11
104000000,-56.30
106000000,-57.20
108000000,-53.59
110000000,-52.72
