Frequency,Magnitude
0,10.91
2000000,-5.58
4000000,-44.41
6000000,-43.38
8000000,-42.20
10000000,-43.77
12000000,-44.79
14000000,-50.42
16000000,-53.54
18000000,-48.30
20000000,-48.45
22000000,-47.11
24000000,-51.93
26000000,-49.72
28000000,-49.35
30000000,-48.04
32000000,-50.39
34000000,-52.01
36000000,-51.88
38000000,-49.55
40000000,-49.78
42000000,-46.11
44000000,-53.19
46000000,-54.35
48000000,-50.10
50000000,-50.19
52000000,-51.88
54000000,-55.37
56000000,-54.44
58000000,-52.42
60000000,-50.67
62000000,-52.93
64000000,-54.48
66000000,-53.58
68000000,-54.05
70000000,-53.25
72000000,-56.59
74000000,-53.89
76000000,-53.08
78000000,-55.94
80000000,-50.92
82000000,-51.05
84000000,-56.62
86000000,-54.14
88000000,-53.36
90000000,-54.34
92000000,-58.04
94000000,-52.47
96000000,-55.30
98000000,-54.54
100000000,-55.14
102000000,-53.97
104000000,-55.52
106000000,-55.48
108000000,-55.14
110000000,-56.29
112000000,-54.94
114000000,-55.50
116000000,-53.73
118000000,-52.62
120000000,-52.51
122000000,-54.36
124000000,-53.66
126000000,-54.18
128000000,-55.34
130000000,-57.72
132000000,-53.81
134000000,-56.45
136000000,-54.92
138000000,-54.73
140000000,-52.83
142000000,-54.95
144000000,-54.83
146000000,-56.56
148000000,-55.64
150000000,-56.49
152000000,-54.79
154000000,-57.05
156000000,-53.67
158000000,-54.57
160000000,-52.55
162000000,-55.58
164000000,-55.80
166000000,-54.52
168000000,-54.07
170000000,-56.83
172000000,-55.66
174000000,-54.02
176000000,-55.90
178000000,-54.97
180000000,-55.66
182000000,-54.28
184000000,-56.16
186000000,-54.89
188000000,-56.99
190000000,-54.78
192000000,-56.92
194000000,-53.35
196000000,-49.90
198000000,-44.14
200000000,-41.01
202000000,-42.85
204000000,-50.68
206000000,-53.82
208000000,-56.00
210000000,-52.95
212000000,-54.02
214000000,-56.48
216000000,-56.41
218000000,-55.19
220000000,-54.67
222000000,-53.62
224000000,-55.58
226000000,-54.14
228000000,-53.65
230000000,-56.35
232000000,-53.00
234000000,-54.65
236000000,-54.50
238000000,-51.01
240000000,-50.82
242000000,-53.75
244000000,-54.15
246000000,-54.64
248000000,-53.88
250000000,-54.79
252000000,-55.33
254000000,-55.47
256000000,-53.85
258000000,-54.02
260000000,-54.81
262000000,-57.62
264000000,-57.79
266000000,-55.76
268000000,-57.25
270000000,-56.48
272000000,-56.39
274000000,-55.97
276000000,-54.75
278000000,-54.42
280000000,-51.72
282000000,-52.84
284000000,-55.27
286000000,-57.42
288000000,-54.42
290000000,-56.83
292000000,-55.61
294000000,-53.33
296000000,-55.74
298000000,-52.06
300000000,-54.98
302000000,-53.21
304000000,-54.68
306000000,-55.61
308000000,-55.28
310000000,-52.91
312000000,-53.92
314000000,-55.25
316000000,-55.66
318000000,-54.28
320000000,-50.78
322000000,-53.90
324000000,-54.65
326000000,-55.43
328000000,-55.65
330000000,-56.12
332000000,-53.44
334000000,-55.75
336000000,-55.56
338000000,-55.81
340000000,-54.96
342000000,-54.24
344000000,-54.60
346000000,-53.24
348000000,-51.69
350000000,-54.96
352000000,-55.01
354000000,-54.30
356000000,-54.28
358000000,-52.34
360000000,-49.44
362000000,-54.84
364000000,-53.53
366000000,-55.25
368000000,-53.88
370000000,-56.14
372000000,-56.16
374000000,-55.62
376000000,-54.23
378000000,-54.35
380000000,-58.22
382000000,-52.36
384000000,-54.25
386000000,-54.70
388000000,-57.00
390000000,-55.61
392000000,-54.92
394000000,-55.37
396000000,-54.03
398000000,-47.37
400000000,-46.14
402000000,-46.59
404000000,-53.82
406000000,-51.88
408000000,-55.36
410000000,-55.80
412000000,-54.89
414000000,-55.63
416000000,-55.46
418000000,-54.06
420000000,-55.06
422000000,-54.85
424000000,-56.23
426000000,-53.45
428000000,-53.05
430000000,-55.54
432000000,-55.14
